freq_aligo,strain_aligo,strain_baseline,strain_best
4.13118e+02,4.43361e-25,7.57977e-25,1.53871e-23
4.14212e+02,4.43809e-25,7.57828e-25,1.54435e-23
4.15308e+02,4.44260e-25,7.57678e-25,1.54917e-23
4.16407e+02,4.44712e-25,7.57527e-25,1.55284e-23
4.17510e+02,4.45167e-25,7.57376e-25,1.55491e-23
4.18615e+02,4.45623e-25,7.57224e-25,1.55486e-23
4.19723e+02,4.46082e-25,7.57071e-25,1.55202e-23
4.20834e+02,4.46542e-25,7.56917e-25,1.54559e-23
4.21948e+02,4.47005e-25,7.56763e-25,1.53462e-23
4.23065e+02,4.47470e-25,7.56608e-25,1.51802e-23
4.24185e+02,4.47937e-25,7.56453e-25,1.49461e-23
4.25307e+02,4.48406e-25,7.56296e-25,1.46317e-23
4.26433e+02,4.48877e-25,7.56139e-25,1.42259e-23
4.27562e+02,4.49350e-25,7.55981e-25,1.37196e-23
4.28694e+02,4.49825e-25,7.55822e-25,1.31085e-23
4.29829e+02,4.50303e-25,7.55663e-25,1.23940e-23
4.30966e+02,4.50782e-25,7.55503e-25,1.15847e-23
4.32107e+02,4.51264e-25,7.55342e-25,1.06965e-23
4.33251e+02,4.51747e-25,7.55180e-25,9.75105e-24
4.34398e+02,4.52233e-25,7.55018e-25,8.77410e-24
4.35548e+02,4.52721e-25,7.54854e-25,7.79240e-24
4.36700e+02,4.53212e-25,7.54690e-25,6.83143e-24
4.37856e+02,4.53704e-25,7.54525e-25,5.91388e-24
4.39015e+02,4.54198e-25,7.54360e-25,5.05922e-24
4.40178e+02,4.54695e-25,7.54193e-25,4.28444e-24
4.41343e+02,4.55194e-25,7.54026e-25,3.60565e-24
4.42511e+02,4.55695e-25,7.53858e-25,3.04015e-24
4.43682e+02,4.56198e-25,7.53689e-25,2.60731e-24
4.44857e+02,4.56703e-25,7.53519e-25,2.32510e-24
4.46034e+02,4.57211e-25,7.53349e-25,2.19956e-24
4.47215e+02,4.57721e-25,7.53178e-25,2.21375e-24
4.48399e+02,4.58233e-25,7.53006e-25,2.33130e-24
4.49586e+02,4.58747e-25,7.52833e-25,2.51246e-24
4.50776e+02,4.59263e-25,7.52659e-25,2.72599e-24
4.51969e+02,4.59782e-25,7.52484e-25,2.95136e-24
4.53165e+02,4.60303e-25,7.52309e-25,3.17629e-24
4.54365e+02,4.60826e-25,7.52132e-25,3.39382e-24
4.55567e+02,4.61352e-25,7.51955e-25,3.60023e-24
4.56773e+02,4.61879e-25,7.51777e-25,3.79374e-24
4.57982e+02,4.62409e-25,7.51598e-25,3.97366e-24
4.59195e+02,4.62942e-25,7.51418e-25,4.13999e-24
4.60410e+02,4.63476e-25,7.51238e-25,4.29305e-24
4.61629e+02,4.64013e-25,7.51056e-25,4.43341e-24
4.62851e+02,4.64552e-25,7.50874e-25,4.56170e-24
4.64076e+02,4.65094e-25,7.50690e-25,4.67863e-24
4.65304e+02,4.65637e-25,7.50506e-25,4.78486e-24
4.66536e+02,4.66184e-25,7.50321e-25,4.88107e-24
4.67771e+02,4.66732e-25,7.50135e-25,4.96790e-24
4.69009e+02,4.67283e-25,7.49948e-25,5.04594e-24
4.70251e+02,4.67836e-25,7.49760e-25,5.11575e-24
4.71495e+02,4.68391e-25,7.49572e-25,5.17784e-24
4.72743e+02,4.68949e-25,7.49382e-25,5.23269e-24
4.73995e+02,4.69509e-25,7.49191e-25,5.28075e-24
4.75249e+02,4.70072e-25,7.49000e-25,5.32240e-24
4.76507e+02,4.70637e-25,7.48807e-25,5.35804e-24
4.77769e+02,4.71204e-25,7.48614e-25,5.38799e-24
4.79033e+02,4.71774e-25,7.48420e-25,5.41258e-24
4.80301e+02,4.72346e-25,7.48224e-25,5.43209e-24
4.81573e+02,4.72920e-25,7.48028e-25,5.44679e-24
4.82848e+02,4.73497e-25,7.47831e-25,5.45693e-24
4.84126e+02,4.74077e-25,7.47633e-25,5.46274e-24
4.85407e+02,4.74659e-25,7.47433e-25,5.46442e-24
4.86692e+02,4.75243e-25,7.47233e-25,5.46218e-24
4.87980e+02,4.75829e-25,7.47032e-25,5.45620e-24
4.89272e+02,4.76419e-25,7.46830e-25,5.44664e-24
4.90567e+02,4.77010e-25,7.46627e-25,5.43367e-24
4.91866e+02,4.77604e-25,7.46423e-25,5.41743e-24
4.93168e+02,4.78201e-25,7.46218e-25,5.39808e-24
4.94473e+02,4.78800e-25,7.46012e-25,5.37573e-24
4.95782e+02,4.79401e-25,7.45804e-25,5.35052e-24
4.97094e+02,4.80005e-25,7.45596e-25,5.32257e-24
4.98410e+02,4.80612e-25,7.45387e-25,5.29199e-24
4.99729e+02,4.81221e-25,7.45177e-25,5.25889e-24
5.01052e+02,4.81832e-25,7.44966e-25,5.22337e-24
5.02378e+02,4.82446e-25,7.44753e-25,5.18554e-24
5.03708e+02,4.83063e-25,7.44540e-25,5.14550e-24
5.05042e+02,4.83682e-25,7.44326e-25,5.10333e-24
5.06378e+02,4.84304e-25,7.44110e-25,5.05914e-24
5.07719e+02,4.84928e-25,7.43894e-25,5.01301e-24
5.09063e+02,4.85555e-25,7.43676e-25,4.96504e-24
5.10410e+02,4.86184e-25,7.43457e-25,4.91530e-24
5.11761e+02,4.86816e-25,7.43238e-25,4.86390e-24
5.13116e+02,4.87451e-25,7.43017e-25,4.81091e-24
5.14474e+02,4.88088e-25,7.42795e-25,4.75642e-24
5.15836e+02,4.88728e-25,7.42572e-25,4.70051e-24
5.17201e+02,4.89370e-25,7.42348e-25,4.64327e-24
5.18570e+02,4.90015e-25,7.42123e-25,4.58478e-24
5.19943e+02,4.90663e-25,7.41896e-25,4.52513e-24
5.21319e+02,4.91313e-25,7.41669e-25,4.46440e-24
5.22699e+02,4.91966e-25,7.41440e-25,4.40268e-24
5.24083e+02,4.92621e-25,7.41211e-25,4.34004e-24
5.25470e+02,4.93279e-25,7.40980e-25,4.27657e-24
5.26861e+02,4.93940e-25,7.40748e-25,4.21236e-24
5.28256e+02,4.94604e-25,7.40515e-25,4.14748e-24
5.29654e+02,4.95270e-25,7.40281e-25,4.08203e-24
5.31056e+02,4.95939e-25,7.40045e-25,4.01608e-24
5.32462e+02,4.96611e-25,7.39809e-25,3.94972e-24
5.33871e+02,4.97285e-25,7.39571e-25,3.88303e-24
5.35284e+02,4.97962e-25,7.39332e-25,3.81609e-24
5.36701e+02,4.98642e-25,7.39092e-25,3.74898e-24
5.38122e+02,4.99324e-25,7.38851e-25,3.68179e-24
5.39546e+02,5.00009e-25,7.38608e-25,3.61459e-24
5.40974e+02,5.00697e-25,7.38365e-25,3.54746e-24
5.42406e+02,5.01388e-25,7.38120e-25,3.48049e-24
5.43842e+02,5.02081e-25,7.37874e-25,3.41373e-24
