freq_aligo,totalnoise_aligo,totalnoise_baseline,totalnoise_best
4.13118e+02,1.95563e-11,2.44849e-11,8.23947e-12
4.14212e+02,1.95556e-11,2.44849e-11,8.23817e-12
4.15308e+02,1.95550e-11,2.44849e-11,8.23688e-12
4.16407e+02,1.95544e-11,2.44848e-11,8.23562e-12
4.17510e+02,1.95538e-11,2.44848e-11,8.23437e-12
4.18615e+02,1.95531e-11,2.44848e-11,8.23314e-12
4.19723e+02,1.95525e-11,2.44848e-11,8.23193e-12
4.20834e+02,1.95519e-11,2.44848e-11,8.23074e-12
4.21948e+02,1.95513e-11,2.44847e-11,8.22957e-12
4.23065e+02,1.95507e-11,2.44847e-11,8.22841e-12
4.24185e+02,1.95501e-11,2.44847e-11,8.22727e-12
4.25307e+02,1.95495e-11,2.44847e-11,8.22615e-12
4.26433e+02,1.95489e-11,2.44847e-11,8.22504e-12
4.27562e+02,1.95484e-11,2.44847e-11,8.22395e-12
4.28694e+02,1.95478e-11,2.44847e-11,8.22287e-12
4.29829e+02,1.95472e-11,2.44847e-11,8.22181e-12
4.30966e+02,1.95466e-11,2.44847e-11,8.22077e-12
4.32107e+02,1.95460e-11,2.44847e-11,8.21974e-12
4.33251e+02,1.95455e-11,2.44847e-11,8.21873e-12
4.34398e+02,1.95449e-11,2.44847e-11,8.21773e-12
4.35548e+02,1.95444e-11,2.44847e-11,8.21674e-12
4.36700e+02,1.95438e-11,2.44847e-11,8.21577e-12
4.37856e+02,1.95432e-11,2.44847e-11,8.21482e-12
4.39015e+02,1.95427e-11,2.44848e-11,8.21387e-12
4.40178e+02,1.95421e-11,2.44848e-11,8.21294e-12
4.41343e+02,1.95416e-11,2.44848e-11,8.21203e-12
4.42511e+02,1.95411e-11,2.44848e-11,8.21112e-12
4.43682e+02,1.95405e-11,2.44848e-11,8.21023e-12
4.44857e+02,1.95400e-11,2.44849e-11,8.20935e-12
4.46034e+02,1.95395e-11,2.44849e-11,8.20849e-12
4.47215e+02,1.95389e-11,2.44849e-11,8.20763e-12
4.48399e+02,1.95384e-11,2.44849e-11,8.20679e-12
4.49586e+02,1.95379e-11,2.44850e-11,8.20596e-12
4.50776e+02,1.95374e-11,2.44850e-11,8.20514e-12
4.51969e+02,1.95368e-11,2.44850e-11,8.20434e-12
4.53165e+02,1.95363e-11,2.44851e-11,8.20354e-12
4.54365e+02,1.95358e-11,2.44851e-11,8.20275e-12
4.55567e+02,1.95353e-11,2.44852e-11,8.20198e-12
4.56773e+02,1.95348e-11,2.44852e-11,8.20122e-12
4.57982e+02,1.95343e-11,2.44853e-11,8.20046e-12
4.59195e+02,1.95338e-11,2.44853e-11,8.19972e-12
4.60410e+02,1.95333e-11,2.44854e-11,8.19899e-12
4.61629e+02,1.95328e-11,2.44854e-11,8.19827e-12
4.62851e+02,1.95323e-11,2.44855e-11,8.19755e-12
4.64076e+02,1.95319e-11,2.44855e-11,8.19685e-12
4.65304e+02,1.95314e-11,2.44856e-11,8.19616e-12
4.66536e+02,1.95309e-11,2.44856e-11,8.19547e-12
