freq_aligo,totalnoise_aligo,totalnoise_baseline,totalnoise_best
5.77350e+00,2.04163e-09,2.77532e-10,2.74307e-11
5.78620e+00,2.03268e-09,2.75857e-10,2.73301e-11
5.79893e+00,2.02378e-09,2.74191e-10,2.72299e-11
5.81169e+00,2.01491e-09,2.72533e-10,2.71301e-11
5.82447e+00,2.00608e-09,2.70885e-10,2.70309e-11
5.83728e+00,1.99729e-09,2.69245e-10,2.69320e-11
5.85012e+00,1.98853e-09,2.67614e-10,2.68336e-11
5.86299e+00,1.97982e-09,2.65991e-10,2.67357e-11
5.87589e+00,1.97114e-09,2.64377e-10,2.66382e-11
5.88881e+00,1.96251e-09,2.62771e-10,2.65411e-11
5.90176e+00,1.95391e-09,2.61173e-10,2.64445e-11
5.91475e+00,1.94534e-09,2.59584e-10,2.63483e-11
5.92776e+00,1.93682e-09,2.58004e-10,2.62525e-11
5.94079e+00,1.92833e-09,2.56431e-10,2.61572e-11
5.95386e+00,1.91988e-09,2.54867e-10,2.60623e-11
5.96696e+00,1.91147e-09,2.53311e-10,2.59678e-11
5.98008e+00,1.90309e-09,2.51763e-10,2.58737e-11
5.99324e+00,1.89475e-09,2.50223e-10,2.57800e-11
6.00642e+00,1.88645e-09,2.48691e-10,2.56868e-11
6.01963e+00,1.87818e-09,2.47167e-10,2.55939e-11
6.03287e+00,1.86995e-09,2.45652e-10,2.55015e-11
6.04614e+00,1.86176e-09,2.44144e-10,2.54095e-11
6.05944e+00,1.85360e-09,2.42644e-10,2.53178e-11
6.07277e+00,1.84548e-09,2.41151e-10,2.52266e-11
6.08613e+00,1.83739e-09,2.39667e-10,2.51358e-11
6.09952e+00,1.82934e-09,2.38190e-10,2.50453e-11
6.11293e+00,1.82132e-09,2.36721e-10,2.49553e-11
6.12638e+00,1.81334e-09,2.35260e-10,2.48656e-11
6.13986e+00,1.80540e-09,2.33806e-10,2.47764e-11
6.15336e+00,1.79749e-09,2.32359e-10,2.46875e-11
6.16690e+00,1.78961e-09,2.30921e-10,2.45990e-11
6.18046e+00,1.78177e-09,2.29489e-10,2.45109e-11
6.19406e+00,1.77396e-09,2.28066e-10,2.44232e-11
6.20768e+00,1.76619e-09,2.26649e-10,2.43358e-11
6.22134e+00,1.75845e-09,2.25240e-10,2.42488e-11
6.23502e+00,1.75074e-09,2.23838e-10,2.41622e-11
6.24873e+00,1.74307e-09,2.22444e-10,2.40759e-11
6.26248e+00,1.73543e-09,2.21056e-10,2.39901e-11
6.27626e+00,1.72783e-09,2.19676e-10,2.39045e-11
6.29006e+00,1.72026e-09,2.18303e-10,2.38194e-11
6.30390e+00,1.71272e-09,2.16937e-10,2.37346e-11
6.31776e+00,1.70522e-09,2.15579e-10,2.36501e-11
6.33166e+00,1.69775e-09,2.14227e-10,2.35660e-11
6.34559e+00,1.69031e-09,2.12882e-10,2.34823e-11
